idx,uuid,key
1,Cinta yang Tak Pernah Pudar,"Cinta yang Tak Pernah Pudar oleh Anita Dewi. Kisah tentang cinta abadi antara dua jiwa yang terpisah oleh waktu dan ruang. Genre: Romantis, Fantasi"
2,Petualangan di Bumi Tengah,"Petualangan di Bumi Tengah oleh Joko Susilo. Sebuah petualangan epik di dunia fantasi Bumi Tengah, di mana kekuatan gelap dan terang bertarung untuk supremasi. Genre: Fantasi, Petualangan"
3,Rahasia Alam Semesta,"Rahasia Alam Semesta oleh Siti Rahayu. Menguak rahasia terdalam alam semesta dan menyelami misteri kehidupan di luar planet kita. Genre: Sains, Misteri"
4,Dunia Tanpa Akhir,"Dunia Tanpa Akhir oleh Budi Santoso. Dalam dunia tanpa batas ini, seorang penjelajah ruang angkasa mencari jawaban atas misteri eksistensi. Genre: Sains Fiksi, Petualangan"
5,Melodi Senja,"Melodi Senja oleh Dian Pratiwi. Sebuah kumpulan puisi yang menggambarkan keindahan senja dan refleksi jiwa di bawah langit senja. Genre: Puisi, Inspiratif"
6,Perangkap Waktu,"Perangkap Waktu oleh Ahmad Surya. Ditawan dalam perangkap waktu, seorang ilmuwan jenius berjuang untuk melarikan diri dan menyelamatkan dunia dari kehancuran. Genre: Sains Fiksi, Thriller"
7,Mimpi di Tepi Laut,"Mimpi di Tepi Laut oleh Rani Wijaya. Cerita tentang seorang gadis kecil yang berpetualang dalam mimpi di tepi laut, menemukan keajaiban dan petualangan di dalamnya. Genre: Fantasi, Anak-anak"
8,Cahaya Dalam Kegelapan,"Cahaya Dalam Kegelapan oleh Ani Susanti. Sebuah novel historis yang menggambarkan perjuangan seorang pejuang kemerdekaan dalam mencari jati diri dan cahaya di tengah gelapnya dunia. Genre: Sejarah, Inspiratif"
9,Pergulatan Jiwa,"Pergulatan Jiwa oleh Eka Putra. Kisah tentang perjalanan seorang pemuda dalam menemukan arti hidupnya melalui kegelapan dan terangnya pergulatan jiwa. Genre: Inspiratif, Psikologi"
10,Rahasia Sang Pencipta,"Rahasia Sang Pencipta oleh Fitri Indah. Mengungkap rahasia kebesaran dan keindahan alam semesta, serta hubungan yang erat antara manusia dan Sang Pencipta. Genre: Spiritualitas, Inspiratif"
11,Pulang ke Bumi,"Pulang ke Bumi oleh Andi Wijaya. Petualangan luar angkasa seorang astronot yang berjuang untuk kembali ke Bumi dalam misi penyelamatan planet. Genre: Petualangan, Sains Fiksi"
12,Jejak Langkah,"Jejak Langkah oleh Rini Setiawati. Memoar tentang perjalanan seorang petualang yang meninggalkan jejak langkah di berbagai belahan dunia, mencari makna hidup dan petualangan sejati. Genre: Memoar, Inspiratif"
13,Pergulatan Batin,"Pergulatan Batin oleh Agung Prabowo. Melalui pergulatan batin, seorang pemuda mencari makna eksistensi dan kebenaran dalam hidup yang penuh dengan dilema dan pertanyaan. Genre: Filosofi, Psikologi"
14,Dunia dalam Genggaman,"Dunia dalam Genggaman oleh Nurul Huda. Kumpulan cerita pendek yang menggambarkan kehidupan dan keajaiban di dalam dunia sehari-hari, membawa pembaca dalam petualangan menyenangkan dan mendalam. Genre: Cerita Pendek, Inspiratif"
15,Langit di Mata,"Langit di Mata oleh Dewi Cahaya. Sebuah novel romantis yang mengisahkan kisah cinta yang melekat erat di antara bintang-bintang di langit, di mana cinta sejati tak pernah pudar. Genre: Romantis, Fantasi"
16,Misteri Pulau Terlarang,"Misteri Pulau Terlarang oleh Dini Aulia. Sebuah petualangan seru di sebuah pulau terlarang yang dipenuhi dengan misteri dan bahaya tak terduga. Genre: Misteri, Petualangan"
17,Titik Balik,"Titik Balik oleh Anwar Pratama. Sebuah kisah inspiratif tentang perjalanan seorang penyintas yang menemukan titik balik dalam hidupnya setelah mengalami kehancuran dan kehilangan. Genre: Inspiratif, Biografi"
18,Kehidupan di Antara Bintang,"Kehidupan di Antara Bintang oleh Faisal Rahman. Menelusuri kehidupan di antara bintang-bintang, mencari makna eksistensi dan keajaiban alam semesta. Genre: Sains Fiksi, Inspiratif"
19,Harmoni Alam,"Harmoni Alam oleh Retno Wulandari. Mengungkap keindahan alam dan harmoni di dalamnya, serta pentingnya menjaga keselarasan antara manusia dan alam semesta. Genre: Alam, Inspiratif"
20,Petualangan di Alam Liar,"Petualangan di Alam Liar oleh Bambang Wijaya. Menjelajahi keindahan dan tantangan alam liar, menghadapi hewan-hewan buas dan mengungkap misteri di balik kehidupan liar. Genre: Petualangan, Alam Liar"
21,Petualangan di Alam Liar,"Petualangan di Alam Liar oleh Bambang Wijaya. Menjelajahi keindahan dan tantangan alam liar, menghadapi hewan-hewan buas dan mengungkap misteri di balik kehidupan liar. Genre: Petualangan, Alam Liar"
22,test,test
24,testing,testing
